genes,effect,variance
ENSG00000000419,0.0492609649238187,0.0142776030193223
ENSG00000000938,-0.00204842473638505,0.0360145281517666
ENSG00000000971,-0.421999616695248,0.0375177593073148
ENSG00000001036,0.0220975928888637,0.0045906206797772
ENSG00000001084,-0.071317771996643,0.00638794334445939
ENSG00000001167,-0.136603476695476,0.0057480202418554
ENSG00000001617,0.173899964606389,0.0242088142343481
ENSG00000001626,0.0321234662401483,0.0384365267545183
ENSG00000001630,0.0309588322586173,0.0162439169862595
ENSG00000002016,-0.108806517794553,0.00874037259932446
ENSG00000002330,-0.0555338828403505,0.0112743496946648
ENSG00000002549,0.285940590613877,0.0106603808013447
ENSG00000002586,0.0269743518797742,0.010119823939099
ENSG00000002587,0.00215901808151961,0.0166936992773274
ENSG00000002726,-0.0673267869435675,0.0352831689107897
ENSG00000002745,-0.433267560002617,0.117303681789865
ENSG00000002822,0.00413511335192639,0.0080276003076012
ENSG00000003056,0.122130893684941,0.0039299249308161
ENSG00000003096,0.154807939018222,0.0888435726526988
ENSG00000003137,0.274167600172671,0.0459592958761065
ENSG00000003147,-0.167186930475382,0.0111662861732102
ENSG00000003393,-0.183639008703735,0.00901362027259395
ENSG00000003400,0.0443772673178652,0.0134898270411506
ENSG00000003402,-0.198797481407159,0.00834846596007991
ENSG00000003436,-0.343858199284889,0.0350765747571418
ENSG00000003987,-0.0104721137018984,0.0395640242459136
ENSG00000004455,0.159415027872506,0.00467264332481871
ENSG00000004468,0.20521902725258,0.0547840287365309
ENSG00000004660,0.0196950534777398,0.0125107573023163
ENSG00000004779,0.0762868866249814,0.00876721011779129
ENSG00000004846,-0.840345589497675,0.222863238105546
ENSG00000004897,-0.125816770400834,0.0112432293721397
ENSG00000004948,-0.0763369283762052,0.115467746560933
ENSG00000004961,0.0458008465778719,0.00639766635050905
ENSG00000004975,0.0788641476057137,0.00633327851318522
ENSG00000005022,0.192157464948873,0.0141606487234278
ENSG00000005075,0.0292019190709018,0.0117774385957717
ENSG00000005156,-0.0402559470031128,0.00667551270264986
ENSG00000005187,-0.127681734037211,0.0332355272547293
ENSG00000005249,-0.0778226559376097,0.0503955667296727
ENSG00000005339,-0.0447113488290118,0.00731434096615776
ENSG00000005469,-0.124640623676798,0.0174643052503104
ENSG00000005471,-0.190853256782143,0.0346567994687234
ENSG00000005844,0.163605530669409,0.0384215879621556
ENSG00000005884,-0.185031331948882,0.0183006282867009
ENSG00000005893,-0.029974585591078,0.00966142026774411
ENSG00000005961,0.131399303754231,0.0442156206697173
ENSG00000006062,0.0966469771322294,0.00893583202798581
ENSG00000006071,0.17229114052561,0.100743725994153
ENSG00000006125,0.0342584051774606,0.00561631836606997
ENSG00000006210,0.283240381071478,0.0388351987972428
ENSG00000006283,-0.150505469187543,0.0583823104160909
ENSG00000006327,-0.15234524091059,0.0248043353623776
ENSG00000006451,-0.061602651131952,0.00475101378420062
ENSG00000006530,-0.0475165918546501,0.00795818682612123
ENSG00000006534,-0.34058078258714,0.0194677121143432
ENSG00000006606,-0.0487217783111827,0.0761025666842775
ENSG00000006607,-0.146982420842765,0.00577159289669838
ENSG00000006625,0.0550257505043821,0.0125330720781508
ENSG00000006634,-0.0516904692918713,0.0139521895242072
ENSG00000006638,-0.154273395544657,0.0189834925009239
ENSG00000006695,0.101107229035214,0.00544412037395039
ENSG00000006704,0.0975541077427802,0.0172995965742258
ENSG00000006747,-0.133807885365279,0.0647607729487615
ENSG00000006757,0.133950045059741,0.0213703884144224
ENSG00000006788,-0.337698161446243,0.103561018092933
ENSG00000006831,-0.00649090399423948,0.00456260886811532
ENSG00000007168,-0.159358934044221,0.00639646752791932
ENSG00000007171,0.56516022858398,0.0802419146781036
ENSG00000007312,0.0935660498412733,0.0609554629275405
ENSG00000007350,1.25252405584529,0.21352570536304
ENSG00000007372,-0.300440162519018,0.025796133236065
ENSG00000007402,-0.429074863609874,0.0640395050718093
ENSG00000007541,0.0545359853310033,0.0135882098670679
ENSG00000007908,0.0950365226978863,0.0685342548619702
ENSG00000007933,-0.0493142213332065,0.038207072707149
ENSG00000007952,0.387206941859971,0.047824927280484
ENSG00000007968,0.154467376147395,0.0153461003027649
ENSG00000008018,0.0955437628277223,0.0077099870508788
ENSG00000008130,0.101150813377826,0.00560724418884346
ENSG00000008311,-0.482119875223884,0.0402225127197155
ENSG00000008394,0.267054594210756,0.0183984750722725
ENSG00000008405,-0.0123762823230434,0.00630321159403858
ENSG00000008513,0.102273071109205,0.0356185790574169
ENSG00000008735,0.907619992712803,0.0693087013027252
ENSG00000008853,0.163273607342236,0.0168473816217439
ENSG00000008952,-0.150843114935986,0.00698245826248014
ENSG00000008988,-0.0221849383123598,0.0115884379838024
ENSG00000009335,-0.0797959728042492,0.00390082966676987
ENSG00000009724,-0.128362855438818,0.0405589185991626
ENSG00000009844,-0.0203019380994361,0.0047384467397671
ENSG00000010030,0.198514383317711,0.0282335958675425
ENSG00000010256,0.193291012157675,0.0160416911169326
ENSG00000010278,0.0847673700841486,0.008612032474825
ENSG00000010310,-0.356804783783808,0.0463015324230155
ENSG00000010319,-0.0485416951366907,0.0467410738665154
ENSG00000010404,-0.1043166903002,0.0160835325050494
ENSG00000010438,0.0785029694368265,0.0222415399952255
ENSG00000010610,0.185151482702127,0.0298607853828899
ENSG00000010671,-0.0665475476970612,0.0394965996250485
ENSG00000010810,-0.10412121690947,0.023975870841625
ENSG00000010932,0.119874148291158,0.055040898946297
ENSG00000011009,0.0871241268436554,0.00847155108367642
ENSG00000011052,0.281567763115118,0.0357663853047672
ENSG00000011376,0.103029956664219,0.00749966805730204
ENSG00000011405,-0.303099927571295,0.0174521035098179
ENSG00000011422,-0.0121086510159488,0.0191924822735076
ENSG00000011465,-0.242564696790496,0.0476191928832179
ENSG00000011485,0.117428952824894,0.00518306992076881
ENSG00000011566,-0.18435374228676,0.0110322305380894
ENSG00000011600,0.106938823334108,0.0358612307899398
ENSG00000011677,0.347463290841286,0.270239904929006
ENSG00000012048,-0.0820570873764114,0.014624468899677
ENSG00000012061,0.019878462813878,0.005777413356661
ENSG00000012124,0.361452961546649,0.0917289811290886
ENSG00000012171,-0.177067388175371,0.0324565031608922
ENSG00000012232,0.102507950622509,0.0101591181816832
ENSG00000012660,0.254693255564426,0.0227176641909121
ENSG00000012779,-0.10172799657455,0.0399932656029805
ENSG00000013016,-0.0697948900659916,0.022215507658543
ENSG00000013275,0.0877959542060033,0.00675525589331523
ENSG00000013288,-0.0576082321558355,0.0069959245943895
ENSG00000013297,-0.253859838089032,0.0703722375285489
ENSG00000013375,-0.140486569954767,0.00904418713904295
ENSG00000013503,0.0284972516812336,0.00519614180492195
ENSG00000013725,0.176179255449905,0.024904900442925
ENSG00000014138,0.126476339637298,0.00829076837888727
ENSG00000014216,0.0758990033100784,0.00954752679644328
ENSG00000014257,-0.384183456004891,0.0383018311178084
ENSG00000014641,0.0858237796888706,0.00528216603059427
ENSG00000014919,-0.0547846964956825,0.00413072352481562
ENSG00000015285,0.138961174834847,0.0297947062995652
ENSG00000015475,0.104399864685251,0.0122839922587439
ENSG00000015532,0.0600770770381048,0.00813867539012287
ENSG00000016391,-0.000822806611733043,0.014740148714709
ENSG00000016402,-0.00791757877291857,0.0177566182558673
ENSG00000016490,-0.334082061197426,0.210739437080111
ENSG00000016602,0.0548161201178513,0.254735593451756
ENSG00000017427,-0.236916762510388,0.0853377446231385
ENSG00000017797,0.00308412238113583,0.00673026346763553
ENSG00000018236,-0.975914782350439,0.128271202281447
ENSG00000018280,-0.138488883150163,0.0526151750009705
ENSG00000018510,-0.0774667205068333,0.00822421981876838
ENSG00000018625,0.892260764992013,0.160036419975823
ENSG00000019549,-0.0814651883860738,0.02896708185771
ENSG00000019582,0.329194168420961,0.0361170614960919
ENSG00000019991,-0.642930622621385,0.0422633351239854
ENSG00000020426,-0.0571860435045611,0.0117693040851068
ENSG00000020922,-0.184798502819355,0.0133651471668801
ENSG00000021645,-0.0855008540739273,0.0796372961403283
ENSG00000021776,-0.10028926734165,0.00656366715487366
ENSG00000021826,-0.157455730921067,0.131446194559031
ENSG00000023228,-0.0507540944099922,0.00550177044548758
ENSG00000023330,0.131571564372017,0.00733002832195933
ENSG00000023445,0.205627221519396,0.0417765060361573
ENSG00000023697,0.0871781653855869,0.0089971209765164
ENSG00000023839,-0.174412957786456,0.0972983855810486
ENSG00000023909,-0.0179527530387541,0.0105489574128762
ENSG00000024422,-0.161908424920996,0.034751224389381
ENSG00000025423,-0.33391237738067,0.0341026673478285
ENSG00000025434,0.125618395124893,0.0128479652818475
ENSG00000025708,0.303891998741983,0.0391975985508967
ENSG00000025796,-0.0275203036572068,0.0087742671005956
ENSG00000026103,0.00584066699956596,0.0246586321575365
ENSG00000026508,0.0381646816301155,0.0121658961227283
ENSG00000026652,-0.236113006362404,0.0341617418549897
ENSG00000027075,-0.156024567056098,0.0154574945774896
ENSG00000027644,-0.0362171693275699,0.0971434017753925
ENSG00000027697,-0.0559843672370199,0.00954264151055948
ENSG00000027847,0.0925793880706132,0.0112188445818227
ENSG00000027869,0.171727516628484,0.0163998141664681
ENSG00000028137,0.17759091138891,0.0117742076121531
ENSG00000028839,-3.48463557205033e-05,0.00917392666489906
ENSG00000029559,-0.0738730541521008,0.155644573181916
ENSG00000029725,-0.166565008395048,0.0078410144418255
ENSG00000031698,0.0847735409961213,0.00574481010954013
ENSG00000033011,0.0120280352506314,0.00720797433367052
ENSG00000033100,-0.0707248839593432,0.00594476886236396
ENSG00000033170,-0.0777556122738124,0.0195426720875266
ENSG00000033178,-0.265653372973172,0.0163883780127905
ENSG00000033327,0.108560690186704,0.00941924008211646
ENSG00000033627,-0.00479123696200567,0.0062023921619764
ENSG00000033800,-0.059320148058482,0.00894602467421702
ENSG00000034152,0.0332202527799877,0.0103596527225207
ENSG00000034693,-0.0684773801209026,0.00840061011310515
ENSG00000034713,-0.0309593337825529,0.0057642664558937
